"","age","gender","income","education","country","winnerN","P_OTwin_late","P_OTwin_early","otherTeam_distance_before","ownTeam_distance_before","wholeGroup_distance_before","session","treatment","dgOffer"
"4162","28","Male",4,5,"US","deadLock",0,1,21,42,47,174,"S4_1",0
"4163","29","Male",6,4,"US","deadLock",NA,NA,-48,125,45,149,"S4_3",0
"4164","40","Male",6,5,"US","deadLock",NA,1,-50,2,-16,220,"S4_4",0.2
"4165","43","Male",7,2,"US","deadLock",0.974522293,1,-19,15,41,131,"S4_2",0
"4166","39","Male",10,5,"US","deadLock",NA,NA,12,92,69,132,"S4_5",0.2
"4167","28","Female",2,6,"non-US","deadLock",NA,NA,-50,110,47,149,"S4_3",0
"4168","50","Female",7,4,"US","deadLock",1,1,5,82,27,166,"S4_2",0.15
"4169","56","Male",5,5,"US","ownTeam",NA,NA,9,53,27,169,"S4_1",0
"4170","45","Male",9,6,"US","deadLock",NA,NA,8,-50,57,179,"S4_2",0.2
"4171","30","Male",5,5,"US","deadLock",0,0,125,125,63,202,"S4_1",0.25
"4172","69","Male",10,4,"US","deadLock",NA,NA,111,117,119,210,"S4_3",0.4
"4173","26","Female",9,4,"US","ownTeam",0,0,31,101,122,219,"S4_1",0.05
"4174","47","Male",6,5,"US","deadLock",0.638297872,1,-40,100,65,144,"S4_1",0.2
"4175","30","Male",4,2,"US","ownTeam",NA,NA,52,121,125,145,"S4_4",0.15
"4176","28","Female",6,5,"US","ownTeam",1,NA,40,90,107,176,"S4_5",0
"4177","27","Female",1,5,"non-US","otherTeam",1,1,28,78,64,213,"S4_1",0.4
"4178","28","Male",2,4,"US","deadLock",NA,NA,5,32,11,136,"S4_3",0.1
"4179","39","Male",2,4,"US","ownTeam",NA,NA,11,93,53,137,"S4_1",0.3
"4180","26","Male",3,5,"US","deadLock",NA,NA,7,54,54,163,"S4_5",0
"4181","23","Male",5,5,"US","deadLock",NA,NA,7,68,-50,141,"S4_5",0
"4182","23","Female",1,5,"non-US","otherTeam",0.162162162,0,112,38,125,154,"S4_4",0.25
"4183","31","Female",6,4,"US","deadLock",NA,NA,-50,125,36,166,"S4_2",0.4
"4184","27","Female",6,5,"US","deadLock",NA,NA,41,115,125,131,"S4_2",0.15
"4185","53","Male",6,3,"US","otherTeam",0.662420382,0.90361446,5,125,115,130,"S4_4",0.05
"4186","24","Female",4,4,"US","deadLock",NA,NA,-42,117,42,133,"S4_5",0
"4187","22","Female",7,5,"US","deadLock",NA,NA,20,124,57,192,"S4_3",0.2
"4188","54","Female",8,5,"US","ownTeam",NA,NA,-2,35,10,156,"S4_5",0
"4189","33","Male",10,6,"US","deadLock",NA,NA,-15,22,5,173,"S4_4",0
"4190","27","Female",5,5,"US","deadLock",1,0.95180723,-100,-63,-77,177,"S4_5",0.05
"4191","65","Male",10,5,"US","deadLock",NA,NA,47,114,125,201,"S4_3",0.4
"4192","35","Male",2,2,"US","deadLock",NA,NA,71,114,91,212,"S4_3",0
"4193","19","Male",4,2,"US","otherTeam",NA,1,-50,76,-50,123,"S4_5",0.4
"4194","55","Female",1,5,"US","ownTeam",NA,NA,24,60,34,130,"S4_4",0
"4195","24","Male",4,5,"non-US","otherTeam",0.347826087,0.12244898,116,123,46,148,"S4_1",0
"4196","61","Male",7,6,"US","deadLock",NA,0,-100,125,125,177,"S4_5",0
"4197","26","Female",8,5,"non-US","deadLock",NA,NA,-50,-50,-50,199,"S4_2",0
"4198","29","Female",5,6,"US","deadLock",NA,NA,-69,46,60,131,"S4_2",0.2
"4199","31","Female",8,5,"US","deadLock",NA,NA,-50,-50,-50,171,"S4_5",0
"4200","47","Female",3,4,"US","deadLock",NA,0.5862069,4,125,121,193,"S4_1",0
"4201","41","Male",1,2,"US","otherTeam",0,0,-50,30,11,137,"S4_1",0.4
"4202","45","Male",6,5,"US","otherTeam",1,NA,9,67,29,154,"S4_4",0.2
"4203","28","Male",7,5,"non-US","otherTeam",NA,NA,125,-50,125,188,"S4_5",0.1
